Paste_locus	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2	chrom	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis	Gene	chrom_exon1	start_exon1	end_exon1
0_0_0_CG00000	241.117074457117	239.45889044352	254.875051445995	217.539269813604	218.686010867907	254.154450547029	216.888282329206	197.858975798996	197.87797224121	216.677272612006	178.95052576157	189.992981629916	221.612842650581	155.326644873868	238.300630543468	117.880063273333	274.623869586212	246.996210372429	182.87451480412	153.566190867419	161.744564895888	78.803426649494	211.682739195432	189.796778521461	0	0	0	0.173847759449988	8.83755991774572e-06	0.248639401581665	3.04452006440499e-09	-0.0747590366701744	0.195892997128362	0.000270341472719438	1.35158466946286e-07	0.396919629372817	P1	P1	0.699196339534658	Cis	NA	-0.074791642131677	76.8755524290473	CG00000	chrX	127490	127595
0_0_0_CG10005	128.431468393399	148.872663954463	126.078916706761	137.900867263507	130.363516727905	140.679652935877	67.0102947762406	77.7611695279897	70.0258668720433	64.5252172116636	60.9088486766444	74.6400999260384	135.891963022478	141.206040794425	148.767679353565	152.760341174946	130.51744319805	149.311994841679	99.836173593237	138.209571780677	92.853361329121	96.2231314878032	75.5267383708744	99.0865851269197	0	0	0	0.67186606926098	3.39819343417113e-11	0.355251183401297	5.05837745673767e-11	0.316623859994061	7.89004607571198e-05	2.48107686454903e-09	2.9911633292675e-09	0.0009276359401231	P1	P1	1.89124231150563	Cis_+_Trans,opposing	Opposing	0.316614885859683	52.8752975711448	CG10005	chr3R	11976988	11977190
0_0_0_CG10007	77.3601062284333	83.8326342386573	75.1763655650944	81.3328366469078	80.9319973738294	75.6498650741012	26.855270807272	20.7363118741306	20.4953756698663	27.0846590765008	28.2380646155872	25.674727247286	87.4410310587675	70.6030203972126	83.064791218009	75.1071677443484	57.200138544424	56.6419880929255	22.1858163540527	15.3566190867419	22.4645229022067	32.0743771626011	18.7084581285652	20.4302237375092	0	0	0	1.15725768566152	1.27571783716962e-11	1.18701632590444	1.09155821030521e-11	-0.0295992847472331	0.82733620951389	1.22769203897923e-09	1.12655040715005e-09	0.919031706136098	P1	P1	0.974929881254796	Cis	NA	-0.02975864024292	97.5543020631708	CG10007	chr3R	11974545	11974865
0_0_0_CG10009	111.59024172774	103.065690430013	100.537067201512	101.926727977375	100.438062609139	109.837784867205	115.861311197088	101.212950814209	111.138614495525	101.169167726929	124.280319267439	121.037999880062	102.062318219414	141.206040794425	97.3628290506171	153.269542312196	103.02345395294	109.569747458446	122.655870414548	153.566190867419	108.578527360666	157.606853298988	133.037924469797	138.925521415063	0	0	0	-0.0726290237977236	0.189377435582244	-0.142040775372092	0.00559706248324576	0.0693854015470821	0.360519190256686	1	0.104824480776903	0.578231470444622	Ambig	P2	0.511325171292987	Conserved/Ambiguous	NA	0.0694117515743684	67.1738368054862	CG10009	chr3R	28598729	28599279
0_0_0_CG10011	117.751666117615	106.295669332378	113.579713757384	103.490820989815	98.3784159693854	112.456434042847	120.976600874663	116.888615147629	127.852105369166	128.519362676729	130.847311038506	126.906508965156	93.1748691609818	127.085436714983	101.447982717077	66.4507484111015	119.140620062143	111.798284694889	122.655870414548	76.7830954337093	120.934014956879	81.0154526607078	127.148224688582	127.075991647307	0	0	0	-0.142685082552182	0.00748290798064244	-0.0572468322584873	0.305729876380526	-0.085412782264613	0.269135044163276	0.140116719573046	1	0.48090858404964	P2	Ambig	2.49245376421728	Conserved/Ambiguous	NA	-0.0854382502936947	40.1211053282682	CG10011	chr3R	28634375	28635063
0_0_0_CG10016	154.720212456867	154.01126675368	162.12734260424	144.417921482009	129.757738304448	155.809625950697	153.714454811147	152.436578360424	176.162633733851	169.677423038078	160.72712359686	163.768081655903	203.551252628606	240.050269350523	162.044428769559	149.195933214197	233.224874286104	193.139893825058	184.142275738637	107.496333607193	143.024129144049	143.5051874775	217.572438976647	181.624689026457	0	0	0	-0.0805785549248744	0.0805468462885439	0.189380648032133	1.13427026121827e-05	-0.270059969203438	1.89706138311596e-05	1	0.000332689482227381	0.000260298197103038	Ambig	P1	0.425484629829772	Compensatory	Opposing	-0.269959202957007	41.2288739207629	CG10016	chr2L	3545073	3545807
0_0_0_CG10021	955.020780430659	1039.61275489305	891.790958257734	919.947373483775	874.622887786938	817.309503819809	760.132046087737	728.116093723192	757.962910933807	811.743164675126	777.367650900031	809.487471925144	1049.0056808001	1030.8040977993	1013.79896822636	648.467648287646	796.061596648641	872.100905194683	709.629183096056	675.691239816642	728.59935946157	562.407613351125	738.291190221713	757.144091712091	0	0	0	0.168661626745972	6.7660508463546e-11	0.259906873485323	6.52891611299128e-11	-0.0912315864069783	0.00146065396301132	3.1727207697319e-09	3.1484232598695e-09	0.0111343434332209	P1	P1	0.648930997800242	Cis_+_Trans,same	Reinforcing	-0.091245246739351	74.0154646707044	CG10021	chr2L	3779692	3780579
0_0_0_CG10023	9.44751739780867	13.2135500551299	12.3180550805456	11.8610386776741	11.6309457303707	11.0565187415994	11.3815195326058	12.9601949213316	12.6876135099173	17.3925997010863	12.1489347764736	15.9550090750991	16.9148224015321	14.1206040794425	14.2980378326081	9.92942217637149	18.6453490282929	10.5855518731041	7.28962537347445	15.3566190867419	15.3507573165079	8.57160079345373	24.2517049814734	17.5699924142579	0	0	0	-0.171180451413103	0.291651163636878	-0.0448944518755961	0.766200515170588	-0.126403643709249	0.568982323788457	1	1	0.746042397821078	Ambig	Ambig	3.81295336643043	Conserved/Ambiguous	NA	-0.126285999537507	26.2263894650296	CG10023	chr2R	19435776	19436479
0_0_0_CG10033	65.4480190746745	65.627298607145	61.7714232715595	72.2089607410047	66.9990936343228	51.6455809640499	61.895005098665	69.2444700082575	59.0462013346149	76.0760277001712	62.7147714136878	62.7196908469414	67.6592896061283	28.241208158885	55.8304334416126	56.52132623473	57.200138544424	59.0562367657388	71.9454330338565	92.1397145204512	71.8864732870614	61.9367283139882	53.7002038875483	62.7207868741533	0	0	0	-0.0205625019221852	0.77255279502891	-0.244250906369924	0.000920035192756075	0.223745598796234	0.0302495911200148	1	0.0198922345213456	0.112563604542087	Ambig	P2	0.0841859800145134	Conserved/Ambiguous	NA	0.223688404447739	52.1971334152558	CG10033	chr2L	3624439	3624676
0_0_0_CG10037	257.27369841279	319.180642442804	346.173577337097	348.010695268019	301.556499196798	324.567017269846	323.797836590537	294.998722495072	278.761508366932	369.360399758947	296.007154080835	320.934090591074	218.459231694363	247.110571390244	328.174011205577	140.0303127437	296.113424398482	288.595572119365	199.989287420103	199.636048127644	297.280519739202	121.384927365361	300.028235913657	302.367311315136	0	0	0	0.00680928353161059	0.836566762362401	0.0665442663685704	0.07188255408603	-0.0597265554169388	0.223807241918198	1	1	0.429198848576198	Ambig	P1	0.102327126035109	Conserved/Ambiguous	NA	-0.0597349828369598	52.6961213241488	CG10037	chr3L	6790159	6793542
