chrom	start	end	ZHR_1	ZHR_2	ZHR_3	Z30_1	Z30_2	Z30_3	ZHR_Z30_1_ZHR	ZHR_Z30_2_ZHR	ZHR_Z30_3_ZHR	ZHR_Z30_1_Z30	ZHR_Z30_2_Z30	ZHR_Z30_3_Z30
chr2L	2355957	2358967	69.3206575559517	65.2203439062011	61.958995267545	112.557987463184	135.601830690862	105.967584649992	45.7503858945593	61.2494346206035	69.6720323063854	178.941022943913	146.328298581513	146.997709171215
chr2L	2360578	2368983	299.729319337163	315.343724659879	267.366533926254	431.472285275539	405.482547382918	381.617440923072	209.523506415663	301.535678132202	257.920504211138	572.203042949928	433.463073156557	522.734844295768
chr2L	2369583	2375933	75.9226249422328	84.0468349306715	68.6936686661912	81.7385385149313	91.9446559318525	88.5298808468285	61.6635635970147	92.2106872859635	71.6818024690696	157.168731178874	128.382375170573	146.997709171215
chr2L	2379510	2381987	40.2720010563148	29.5844858955963	45.7957791107941	45.559185401765	52.2563152418442	34.8754076063264	50.3917293911088	76.056990243167	47.5645605168593	114.304531766454	82.8273388197242	70.751233853435
chr2L	2382204	2384963	42.9127880108272	32.2739846133778	41.0815077317418	41.5392572780799	58.8710386901789	56.3371969025273	34.4785516886534	65.9609295914192	40.8653266412453	74.1618688246636	72.4739214672587	78.3071908669087
chr2R	5749716	5751335	83.8449858057701	53.7899743556297	59.9385932479511	41.5392572780799	48.2874811728434	31.522003028795	149.849090031455	98.9413943871287	160.111689627174	105.459538236907	89.7296170547013	127.077458862966
chr2R	5782253	5783528	50.8351488743646	30.9292352544871	22.8978895553971	287.424860843488	279.802801864558	272.296451695548	65.6418580226285	80.7684852139826	65.6524919810171	478.310034713198	450.028540920502	454.731231174505
chr2R	5893606	5894437	44.8933782267116	32.2739846133778	16.1632161567509	58.9589458140488	68.1316515178475	70.4214961281591	55.0330728876583	84.8069094746818	56.2735645551575	121.108372943029	114.577818700619	126.390553679923
chr2R	6107993	6109119	36.9710173631742	36.3082326900501	23.5713568952617	20.0996406184257	29.7662555175062	20.7911083806946	59.6744163842078	51.1533739688557	94.4591976461572	50.3484247066524	69.0227823497702	74.8726649516934
chr2R	6131785	6132693	85.8255760216545	88.753457686789	94.2854275810467	91.11837080353	107.819992207856	113.345074720561	165.76226773391	146.056344095285	152.072608976437	161.931420002477	176.698322815412	156.614381733817
chr2R	6146713	6147938	17.1651152043309	28.912111216151	18.8570855162093	66.3288140408049	92.606128276686	25.4858747892385	43.7612386817524	100.960606517478	78.3810363446836	101.377233530962	176.008094991914	144.250088439042
chr2R	6168205	6169920	77.9032151581171	86.7363336484529	133.346533293195	73.0286942469469	71.4390132420149	46.9476640854394	214.164849912212	174.998384630296	201.646939655981	138.798360002123	165.654677639448	108.531018920803
chr2L	2413404	2415663	71.301247771836	50.4281009584029	41.0815077317418	89.7783947623016	74.7463749661822	93.8953281708788	39.1198951852029	65.9609295914192	71.6818024690696	119.067220590056	103.534173524655	121.582217398621
chr2R	6235481	6236297	107.612068396382	96.8219538401335	40.4080403918772	203.0063702461	187.196673587872	228.70219218764	76.2506431575988	121.152727820974	109.197512172508	178.941022943913	177.388550638909	223.931089672037
chr2R	6241628	6242272	23.1068858519839	18.154116345025	16.1632161567509	110.548023401342	107.158519863022	101.943499156954	35.141600759589	50.4803032587391	36.8457863158769	174.858718237968	161.513310698462	149.745329903387
chr2L	2418530	2422532	23.767082590612	30.9292352544871	22.2244222155324	57.6189697728205	42.9957024141756	34.8754076063264	21.2175702699405	32.3073940855931	19.4277782392806	90.4910876484428	60.0498206443001	59.073845741703
chr2R	6516421	6517735	17.1651152043309	30.2568605750417	32.3264323135017	37.5193291543947	29.1047831726727	22.8031511272134	35.141600759589	39.7111718968748	46.8946371292979	51.7091929419673	60.7400484677978	51.5178887282294
chr2R	6546947	6547942	61.3982966924143	38.9977314078316	38.3876383722833	92.4583468447584	114.43471565619	139.501630425306	61.000514526079	96.2491115466626	81.7306532824906	150.3648900023	136.665109052545	175.16082167598
chr2L	2426566	2428964	66.0196738628111	59.1689717911927	68.6936686661912	64.3188499789624	91.9446559318525	103.284860987967	37.1307479723959	61.92250533072	38.1856330909997	114.304531766454	95.2514396426829	104.409587822545
chr2L	2429303	2435383	81.8643955898858	89.4258323662344	108.428241718204	138.017532246523	119.726494414858	125.417331199674	100.783458782218	107.691313618644	99.148661359087	168.054877061394	135.974881229047	140.815562523827
chr2R	6574653	6575371	50.8351488743646	32.2739846133778	32.9998996533664	105.188119236428	101.866741104355	141.513673171824	63.6527108098216	51.1533739688557	44.2149435790523	212.279844709129	131.833514288061	164.857243930334
chr2R	6595372	6595896	49.5147553971083	34.2911086517139	13.4693467972924	66.3288140408049	82.0225707593504	76.4576243677156	44.424287752688	74.0377781128174	63.6427218183329	86.408782942498	102.843945701158	115.400070751234
chr2R	6627849	6629207	60.0779032151581	29.5844858955963	28.285628274314	124.61777183424	163.383669173867	185.107932679732	64.3157598807573	82.7876973443322	82.400576670052	244.25789823903	213.970625284288	267.20611620375
chr2R	6740817	6742742	44.8933782267116	55.1347237145205	45.7957791107941	60.9689098758914	82.0225707593504	79.811028945247	75.5875940866632	68.6532124318852	81.7306532824906	104.77915411925	133.213969935056	136.694131425569
chr2R	6748524	6750339	88.4663629761669	83.3744602512261	100.346633639828	105.858107257042	114.43471565619	140.172311340812	162.447022379232	150.094768355984	132.644830737157	188.466400591118	182.220145403393	193.020356435099
chr2L	2446602	2449754	48.1943619198521	58.4965971117473	37.0407036925541	40.1992812368515	40.3498130348417	43.594259507908	66.9679561644998	78.7492730836331	85.750193607859	50.3484247066524	44.8648085273506	58.38694055866
chr2L	2450342	2455696	272.66125305341	275.001243893157	218.203418116137	397.97288424483	408.128436762252	387.653569162628	186.316788932915	242.305455641948	268.639278412121	470.145425301308	375.48393598275	428.628834218869
chr2R	6811003	6812519	34.9904271472899	43.0319794845038	59.2651259080865	76.3786343500178	71.4390132420149	64.3853678886026	78.9028394413414	69.3262831420018	70.3419556939468	134.035671178521	155.991488110481	140.815562523827
