chrom	start	end	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2
chr2L	42835	44159	47.2908098192918	81.8330605564648	57.4291251140235	50.1068769023289	41.216339989009	55.1039244708875	68.0754398532024	23.3405551756995	46.0701485762292	42.1439396154753	29.4612639618771	61.5768007592057
chr2L	46805	47720	65.2039953569023	70.1426233341127	78.7981019006369	29.3178535066818	24.2064218983069	23.3426346716954	256.356160888636	249.881237763371	176.150568085582	11.1810452041057	27.6199349642598	23.5440708785198
chr2L	160420	161959	898.525386566544	1002.45499181669	880.13473139864	2325.17230902084	2396.43576793238	2475.08460748403	2246.48951515568	2173.41757900778	2146.32692190432	2716.99398459768	2607.32186062613	2359.8403349778
chr2L	167651	168903	101.746893853628	93.5234977788169	153.589520653784	93.8171312213818	67.3854447439353	109.825182799616	212.199118821694	210.064996581295	239.835773470369	81.707638030003	84.7011338903967	99.6095306398916
chr2L	171842	173448	68.7866324644244	46.7617488894085	110.851567080557	337.421841267811	317.300395153482	389.554132717802	351.416459782747	324.021824792063	292.680943896044	346.612401327276	399.568392482959	302.450756670216
chr2L	245184	246511	66.6370501999112	70.1426233341127	77.4625408514736	111.940895207331	109.256012351817	119.774502495749	183.374383027996	131.805488051009	135.500436988909	129.012060047373	92.066449880866	132.209013394765
chr2L	312956	313838	28.6610968601768	46.7617488894085	48.7479782944618	19.7229196317678	27.4775599926726	26.4039638089669	31.2779047974173	39.8162411820756	18.9700611784473	12.9012060047373	20.2546189737905	25.3551532537906
chr2L	335825	336530	101.746893853628	81.8330605564648	113.522689178884	595.95200400855	563.289979849789	416.340762668928	348.349998528099	389.924568817567	298.1009613756	271.7854064998	382.996431504403	304.261839045487
chr2L	339105	340410	75.9519066794686	67.2200140285247	65.4424914090036	163.646927755478	141.967393295475	143.117137167444	65.0089785985536	54.918953354587	52.8451704256746	132.452381648637	97.590436873718	79.6876245119133
chr2L	380008	382529	290.910133130795	251.34440028057	168.280692194581	975.484943949595	963.677282600162	1028.22392398107	678.301229528305	774.357242299676	686.98721553377	1043.27752558309	1132.41733353465	883.808199132129
chr2L	382826	384091	44.4247001332741	39.4552256254384	37.3957093765735	238.807243108972	200.84787899406	288.530271187842	143.510386717562	112.583854376903	163.95552875658	222.760823681798	219.118150716461	217.329885032491
chr2L	384546	385298	81.684126051504	109.597848959551	69.4491745564936	114.073102735089	131.499751393505	95.2838693975763	71.1419011078511	52.1730056868576	74.5252403439001	86.868120431898	136.258345823682	172.052825650722
chr2L	410918	412243	21.4958226451326	35.0713116670563	26.0434404586851	55.4373957217256	31.4029257059116	35.9706173629405	27.5981512918388	20.5946075079701	58.265187905231	31.8229748116854	47.8745539380503	86.9319540129963
chr2L	432225	433706	30.0941517031857	32.1487023614683	18.6978546882867	85.2883011103471	96.1714599743543	107.146519804504	82.7944538755164	75.5135608625571	119.24038455024	94.6088440347404	121.527713842743	152.130919522744
chr2L	444508	445696	30.0941517031857	49.6843581949965	29.3823430815934	105.011220742115	126.26593044252	77.2985607161061	63.7823940966941	52.1730056868576	90.7852927825692	75.6870752277923	92.066449880866	126.775766268953
chr2L	495159	496177	31.5272065461945	37.9939209726444	38.7312704257368	40.5119430274149	47.7586161777406	65.8185764513379	46.6102110706611	43.9351626836696	55.5551791654528	55.0451456202126	47.8745539380503	77.8765421366425
