chrom	start	end	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2
chr2L	7223	10248	177.290624457525	160.889908274044	166.916429896017	18.4884902845085	15.3723805463549	12.1821679802114	198.071898587188	289.416518419853	244.270813454524	16.9148266913363	30.8578770341653	19.3756072176905
chr2L	17862	19958	212.05832688939	63.6076381548547	117.391774871924	326.91012366699	294.637293805136	401.120165202083	282.239855493194	168.733182553659	191.927067714269	384.487022099221	391.333986024187	345.992986030187
chr2L	21442	25248	101.097574447268	48.6411350595947	51.3589015064666	111.351134668062	109.656314563998	123.901562140199	90.7199535513838	78.2206806540143	111.230459698042	121.00606786879	109.405200393859	137.013222467954
chr2L	29878	35234	165.208231413827	52.3827608334097	77.0383522597	213.037831232859	205.989899321156	199.668704456148	195.047900135475	150.854169832742	212.646467069786	167.847126398645	193.563046850673	220.051539115199
chr2L	35423	44384	501.049442138653	168.373159821674	214.606838437736	663.484685437246	654.35099858984	606.731390624187	446.039771627637	431.331181892136	528.889930917161	440.436064232103	373.099785958544	503.765787659953
chr2L	44681	47821	278.881357804535	93.5406443453745	126.563007283793	54.6250849315022	51.2412684878497	65.3677306255246	251.495871234114	235.7794802571	183.203110090893	50.0939098166498	56.1052309712096	65.0466813736752
chr2L	63718	71192	780.917117742674	381.645828929128	330.164366827286	746.682891717535	633.342078509822	653.677306255246	714.671634088123	674.932730214638	677.19721051455	699.36302666102	681.678556300197	638.011066239665
chr2L	71414	76086	1373.69411523348	149.665030952599	194.430127131624	1490.00423974698	1413.23418489489	1433.33605698878	1291.24733888136	1336.45620088859	1188.63922618496	1502.16672424213	1422.26760512016	1305.08554330587
chr2L	82995	85365	149.427146622059	37.4162577381498	33.0164366827285	229.005163751298	214.70091496409	187.189410427639	97.2719501967615	122.918212456308	117.773427915574	193.869936693008	145.873600525145	163.308689406248
chr2L	85557	116600	2409.57438414317	1081.32984863253	1063.86295977681	2695.53784488913	2384.76863542452	2818.5376941533	2535.11870201922	2446.07242788053	2368.55449474654	2754.51446965838	2391.48547014781	2435.79062165252
chr2L	117328	134108	1681.67184812284	875.540431072705	860.261600233316	2147.60622373006	2286.38539992785	1968.46006997318	1591.63118508483	1477.25342606581	1774.23488165406	1788.41763748013	1892.14891450404	2020.59903841629
chr2L	134304	137891	181.482475105339	101.023895893004	143.071225625157	226.063813024217	239.296723838258	230.272687430825	147.167924650023	125.153089046423	166.845689547063	197.122787979804	141.665708202304	232.507286612286
