chrom	start	end	ZHR_1	ZHR_2	ZHR_3	Z30_1	Z30_2	Z30_3	ZHR_Z30_1_ZHR	ZHR_Z30_2_ZHR	ZHR_Z30_3_ZHR	ZHR_Z30_1_Z30	ZHR_Z30_2_Z30	ZHR_Z30_3_Z30	ZHR_1_tsim	ZHR_2_tsim	ZHR_3_tsim	TSIM_1	TSIM_2	TSIM_3	ZHR_TSIM_1_ZHR	ZHR_TSIM_2_ZHR	ZHR_TSIM_3_ZHR	ZHR_TSIM_1_TSIM	ZHR_TSIM_2_TSIM	ZHR_TSIM_3_TSIM
chr2R	13432527	13433527	130.108768797784	106.112743707406	127.667817144467	83.7655710276933	62.5359851466253	93.3773488522825	94.4060610861472	80.5066848119176	112.390201320312	100.820154968508	68.3272109064126	90.1849133197409	89.436549736659	95.2565974594063	106.780565936999	37.6693333956826	48.4938085202311	33.8108025514152	89.4683546362908	71.0461218505577	84.6428695320359	37.6887687469134	46.6320917013782	48.7914625783035
chr2R	13438813	13439813	77.8519682150677	69.2981183395305	110.058463055575	111.32003518154	115.368110529119	129.629731347875	85.7250439747773	89.3293352022648	104.752032298543	75.8983189088767	100.753683878947	127.857092301405	62.1087150949021	52.6418038591456	80.0854244527496	27.2777931485977	44.5618780996718	42.9137109306423	71.8457999352032	46.5029161203651	61.0538731050751	37.6887687469134	31.5081700684988	32.527641718869
chr2R	13450085	13451085	271.94865609373	245.791763485522	276.246742269494	198.392141907695	225.345187855943	247.175335197218	243.068479118356	187.481320794877	255.333078727699	188.046581177217	187.610307912523	196.351963177157	217.380502832157	208.060462871861	217.374723514606	102.616459939963	98.2982605139819	124.839886343687	187.070196057699	189.886907491491	188.711971415687	110.467080809919	112.169085443856	113.846746016042
chr2R	13476841	13477841	67.1873150349214	47.6424563584272	55.0292315277876	111.32003518154	81.9437046748884	82.3917783990728	104.172205336438	91.5349977998516	61.1053521741503	113.281072998323	79.9080941108893	67.35328969449	105.584815661334	63.9221904003911	85.1702133068924	88.3280921002212	102.230190934541	92.3294992750184	56.9344074958214	114.965542630902	76.3173413813439	87.0740519325241	119.731046260295	111.136109206136
chr2R	13483011	13484011	158.903332384179	160.251898660164	172.791786997253	132.261427938463	168.200235911613	150.502315208973	171.450087949555	165.424694819009	147.307545419826	139.335719787938	130.863980210587	136.989741751505	96.8895955480473	125.337628236061	116.950143645285	74.0397242604795	74.7066779906263	79.325344447551	77.2681244586148	82.671850880649	94.3559857078433	94.871728224989	68.0576473479573	79.9637858922197
chr2R	13485116	13486116	125.842907525726	112.609442301737	150.780094386138	96.9917138215397	120.759143731414	125.235503166591	121.534239559178	126.82559936124	127.66653936385	152.929448547737	119.28309700611	94.7512380447911	72.0461095100865	91.4964686123244	118.221340858821	63.6481840133947	65.532173675988	53.3170347926162	92.1795168979966	78.7966078706186	62.4414611301904	51.9845086164323	84.4418957835767	75.897830677361
chr2R	13509117	13510117	84.2507601231554	76.8776000329166	83.6444319222371	52.9045711753853	44.2064722588213	65.9134227192583	88.980425391541	74.9925283179507	70.9258552021387	54.3749150391953	49.7977977792498	49.0879907942894	85.7100268309649	60.1620615533092	78.8142272392139	40.2672184574538	39.3193042055928	44.2141264133891	59.6455697575272	49.0864114603853	84.6428695320359	31.1907051698594	44.1114380958983	51.5020993882093
chr2R	13553576	13554576	151.438075158077	139.679019778116	116.66197083891	132.261427938463	116.446317169578	121.939832030628	104.172205336438	106.974635982959	110.207867314092	111.015451538357	75.2757408290986	91.3264945010034	121.733081586008	109.043736565373	123.306129712964	55.8545288280811	53.7363824143101	75.4240979993108	120.646720645907	96.8810752507605	138.758802511534	85.7744392171133	99.5658174164561	79.9637858922197
chr2R	13557038	13558038	66.1208497169068	60.6358535470892	82.5438472916813	73.8459639323086	60.3795718657072	67.0119797645792	87.8952982526198	63.9642153300168	57.8318511648208	78.1639403688432	78.7500057904416	103.883887494891	47.2026234721256	35.094535906097	52.119085754964	33.7725058030258	26.2128694703952	48.1153728616293	46.0897584489983	49.0864114603853	37.4648766781143	57.1829594780755	46.6320917013782	46.0808257683978
chr2R	13557199	13558199	158.903332384179	148.341284570557	158.484186800028	143.283213600002	144.479689821514	171.374899070071	159.513689421421	137.853912349174	137.487042391838	199.374688477049	173.713248067151	154.113459470443	109.311338567028	115.310617977176	100.424579869321	50.6587587045386	43.2512346261521	67.6216051028304	66.4234754117917	93.0058322407301	94.3559857078433	66.2802484859512	60.4956865315176	62.3446466278323
chr2R	13557404	13558404	154.637471112121	140.761802877171	172.791786997253	139.97667790154	133.697623416923	154.896543390257	153.002926587894	123.51710546486	113.481368323422	183.515338257284	169.08089478536	154.113459470443	99.3739441518434	96.5099737417669	109.322960364071	48.0608736427674	34.0767303115137	63.7203586545901	74.556962196909	87.8388415606895	101.29392583342	88.3736646479349	49.1527453068581	47.4361441733506
chr2R	13558044	13559044	142.90635261396	136.430670480951	141.975417341692	134.465785070771	161.730996068859	163.684999752825	155.173180865736	123.51710546486	128.757706366959	199.374688477049	171.397071426255	140.414485295293	111.795687170824	124.0842519537	104.238171509928	49.359816173653	44.5618780996718	36.4116335169087	58.2899886266743	71.0461218505577	99.9063378083047	63.6810230551296	56.7147061232978	54.212736198115
chr2R	13577535	13578535	89.5830867132285	126.685622589454	123.265478622244	109.115678049232	101.351424203151	137.319630665121	90.0655525304622	77.1981909155375	70.9258552021387	91.757669128642	75.2757408290986	87.9017509572158	104.342641359436	141.631519906749	152.543665624285	80.5344369149076	55.0470258878299	58.5186967236032	105.735328206525	42.6276731103346	97.131161758074	66.2802484859512	27.7271896602789	90.8063331318427
chr2R	13593143	13594143	225.024182101086	245.791763485522	242.128618722265	223.742248929234	252.300353867419	220.809966109515	256.090004785411	255.856861320067	261.880080746358	194.843445557116	152.867658299093	192.92721963337	177.63092517142	182.992937224649	211.018737446928	132.492138150332	123.200486510857	139.144456653901	142.336018739554	134.341757681055	137.371214486419	162.451589426351	147.458235920574	150.440342949769
chr2R	13753463	13754463	148.238679204033	135.347887381895	122.164893991688	236.96839172308	192.998988642171	148.305201118331	174.705469366318	180.864333002116	192.045392547329	171.054420227468	162.132364862674	173.520339551907	163.967007850542	119.070746824258	109.322960364071	125.997425495904	121.889843037338	143.045703102141	185.714614926846	174.385935451369	127.658098310612	102.669404517454	113.429412246596	85.3850595120312
chr2R	13805293	13806293	69.3202456709507	58.4702873489788	44.02338522223	52.9045711753853	49.5975054611166	43.9422818128388	33.6389413065582	60.6557214336366	51.2848491461618	29.4530789795641	45.1654444974592	39.955341344189	108.06916426513	66.4289429651123	63.5598606767854	44.1640460501106	61.6002432554287	93.6299147577651	54.2232452341156	73.629617190578	99.9063378083047	50.6848959010215	59.2353597287777	58.2786914129737
chr2R	13805684	13806684	66.1208497169068	53.056371853703	45.1239698527858	54.0067497415391	53.9103320229529	52.7307381754066	40.1497041400856	62.8613840312234	54.5583501554913	33.984321899497	33.5845612929824	36.5305978004014	88.194375434761	66.4289429651123	82.627818879821	54.5555862971955	56.3576693613497	76.7245134820575	67.7790565426446	74.9213648605881	88.805633607382	40.287994177735	49.1527453068581	62.3446466278323
chr2R	13824357	13825357	71.4531763069799	70.3809014385856	84.7450165527928	59.5176425723084	73.3180515512159	73.603322036505	83.5547896969348	88.2265039034714	86.2021932456763	50.9764828492455	75.2757408290986	85.6185885946907	160.240484944847	165.4456692716	225.00190679582	136.388965742989	115.336625669739	126.140301826434	150.469505524671	114.965542630902	102.681513858535	157.253138564708	138.635948301395	131.465885280429
chr2R	13839552	13840552	296.477358408066	302.096484636391	329.07480453617	120.137463710771	115.368110529119	106.560033396134	295.154581786575	212.846440667125	195.318893556659	194.843445557116	115.808832044767	124.432348757617	233.528768756832	181.739560942288	256.781837134213	163.666758891586	123.200486510857	214.568554653212	216.892980936463	142.092243701115	167.898151038957	155.953525849297	153.759869934274	146.374387734911
chr2R	13854077	13855077	110.912393073521	106.112743707406	115.561386208354	111.32003518154	98.1168042817742	108.757147486776	103.087078197517	102.563310787785	97.1138632767745	80.4295618288096	67.1691225859649	105.025468676154	182.599622379012	177.979432095206	158.899651691963	188.346666978413	175.626225451648	131.34196375742	128.780207431025	149.842729721176	130.433274360842	132.560496971902	156.280523539754	134.176522090335
chr2R	13854158	13855158	91.7160173492578	110.443876103627	83.6444319222371	103.604785218463	109.977077326824	101.067248169529	62.9373740574314	80.5066848119176	87.2933602487861	69.1014545289773	71.8014758677556	79.910682688378	161.482659246745	166.699045553961	161.442046119035	159.76993129893	152.034642928292	115.73697796446	126.069045169319	147.259234381156	109.619453984112	128.66165882567	136.115294695915	113.846746016042
chr2R	13858451	13859451	177.033242790428	137.513453580006	127.667817144467	134.465785070771	139.088656619218	128.531174302554	109.597841031044	122.414274166067	136.395875388728	106.484208618424	107.702213801633	111.874955763729	149.060916227765	137.871391059667	120.763735285892	85.73020703845	76.017321464146	98.8315766887521	107.090909337378	116.257290300913	79.0925174315746	93.5721155095781	104.607124627416	130.110566875476
chr2R	13861496	13862496	42.658612720585	42.2285408631514	57.2304007888991	37.4740712492312	50.6757121015757	50.5336240847647	54.2563569460616	58.4500588360498	51.2848491461618	47.5780506592958	45.1654444974592	46.8048284317643	108.06916426513	111.550489130094	137.289299061856	85.73020703845	94.3663300934227	93.6299147577651	111.157652729937	72.3378695205678	69.3794012557672	81.8756010708809	65.5369937424774	93.5169699417484
