chrom	start	end	ZHR_1_tsim	ZHR_2_tsim	ZHR_3_tsim	TSIM_1	TSIM_2	TSIM_3	ZHR_TSIM_1_ZHR	ZHR_TSIM_2_ZHR	ZHR_TSIM_3_ZHR	ZHR_TSIM_1_TSIM	ZHR_TSIM_2_TSIM	ZHR_TSIM_3_TSIM
chr2L	2355957	2358967	79.2900409709632	61.6072033037709	94.4336460966634	76.5100580257697	83.599253723735	82.3935738415261	81.1463130444432	65.1153548719711	63.3411618317419	84.338422885095	77.2571577757664	88.2540821015118
chr2L	2360578	2368983	401.114324911931	438.697447701577	463.336306747658	296.561109869797	325.561321411944	338.353938480365	411.280031071409	402.775390960646	440.572970074116	378.16260583962	313.024690988019	383.134784996246
chr2L	2369583	2375933	123.266030080909	107.643355223072	139.952022272753	134.738951744497	133.215070974407	138.448218340269	115.130666370748	95.9948015122873	136.535393281755	133.309120044182	123.211846452731	150.592282950992
chr2L	2379510	2381987	62.6324693384079	64.3152122402004	68.6172536385827	42.6560500497654	57.0921732747459	75.6400022151715	81.1463130444432	61.0876009623647	66.1563245798194	65.9744114504372	49.950748561918	56.7347670652576
chr2L	2382204	2384963	29.9836289385995	33.8501117053686	38.7245886871209	46.0414508473658	51.6548234390558	64.8342876130041	37.4521444820507	35.5784928681904	45.7463946562581	57.8126285905893	47.9527186194412	42.7261826047002
chr2R	5749716	5751335	278.514597696324	179.405592038454	172.562202219802	295.884029710277	313.327284281641	276.896436680538	214.309493425068	231.595849802372	153.426369770219	244.173337223783	283.054241850868	168.103013526689
chr2R	5782253	5783528	187.897408015224	169.250558526843	186.829155946636	249.842578862912	263.031798301508	237.725721247682	192.809188259446	193.33218766111	153.426369770219	210.846057212738	252.417782732892	201.723616232027
chr2R	5893606	5894437	182.566985092806	167.896554058628	147.425188510618	162.499238284821	162.440826341241	125.616432250196	159.51839316429	171.850833476542	172.428718319742	126.507634327643	153.182295589882	122.575114029878
chr2R	6107993	6109119	42.6433833793415	37.2351228759055	31.9308011981524	64.9996953139282	96.512959583499	122.239646437018	50.6297508738834	75.1847396459873	90.0852079384774	68.6950057370532	72.5950879099874	78.4480729791216
chr2R	6131785	6132693	149.918144692998	155.033511610588	153.53959725069	171.301280358582	148.847451752016	182.346433911574	117.904899295345	152.383356246778	152.7225790832	174.118034343422	173.162595014649	210.128766908361
chr2R	6146713	6147938	54.6368349547814	66.3462189425225	48.9152699205738	50.7810119640064	69.3262104050486	137.772861177634	186.567164179104	134.929755971816	131.608858472619	167.316548626882	159.176385417312	131.68069392924
